Map,Winner,Team1StartingSide,Team2StartingSide,AverageACSTeam1,AverageACSTeam2,AverageKillsTeam1,AverageKillsTeam2,TotalFKTeam1,TotalFKTeam2,TotalFDTeam1,TotalFDTeam2,TotalKillsTeam1,TotalKillsTeam2,TotalDeathsTeam1,TotalDeathsTeam2,TotalFKFDTeam1,TotalFKFDTeam2,EntryFKFDTeam1,EntryFKFDTeam2,HsPercentageTeam1,HsPercentageTeam2
Ascent,1,CT,T,212.2,208.4,26.6,25.8,20,16,16,20,133,129,129,133,4,-4,0.8,-0.8,34.6,29.2
Breeze,1,T,CT,224.0,164.6,15.4,9.4,13,5,5,13,77,47,47,77,8,-8,1.6,-1.6,32.8,23.8
Icebox,-1,CT,T,188.6,207.0,16.6,18.0,13,13,13,13,83,90,90,83,0,0,0.0,0.0,23.4,26.6
Haven,-1,T,CT,170.2,201.2,11.2,13.4,9,10,10,9,56,67,67,56,-1,1,-0.2,0.2,24.6,28.2
Breeze,-1,T,CT,192.6,219.4,13.2,16.0,10,10,10,10,66,80,80,66,0,0,0.0,0.0,33.6,32.6
Bind,1,T,CT,227.2,185.8,17.0,13.0,12,9,9,12,85,65,65,85,3,-3,0.6,-0.6,24.0,32.2
Ascent,1,T,CT,212.6,167.2,15.6,11.6,11,10,10,11,78,58,58,78,1,-1,0.2,-0.2,28.4,39.6
Pearl,1,CT,T,185.8,196.0,13.6,14.2,10,11,11,10,68,71,71,68,-1,1,-0.2,0.2,22.2,31.8
Fracture,1,CT,T,201.0,199.6,17.0,16.0,14,10,10,14,85,80,80,85,4,-4,0.8,-0.8,23.2,21.2
Breeze,-1,T,CT,190.6,212.4,15.4,18.0,12,12,12,12,77,90,90,77,0,0,0.0,0.0,38.0,31.4
Haven,-1,T,CT,167.2,217.8,10.6,15.4,6,13,13,6,53,77,77,53,-7,7,-1.4,1.4,35.6,24.6
Haven,1,CT,T,210.0,204.0,16.8,15.6,10,12,12,10,84,78,78,84,-2,2,-0.4,0.4,28.4,23.0
Ascent,-1,T,CT,191.8,200.2,16.0,17.0,12,12,12,12,80,85,85,80,0,0,0.0,0.0,23.0,19.2
Pearl,1,T,CT,209.0,179.0,15.0,12.8,12,9,9,12,75,64,64,75,3,-3,0.6,-0.6,29.8,22.2
Bind,1,CT,T,200.2,195.2,15.8,14.6,13,10,10,13,79,73,73,79,3,-3,0.6,-0.6,29.4,28.4
Ascent,1,T,CT,223.2,175.2,13.0,9.0,10,6,6,10,65,45,45,65,4,-4,0.8,-0.8,25.2,25.4
Ascent,1,T,CT,222.2,202.8,21.6,19.8,15,13,13,15,108,99,99,108,2,-2,0.4,-0.4,24.6,24.6
Bind,-1,CT,T,167.0,208.2,10.4,14.4,7,12,11,8,52,72,72,52,-4,4,-0.8,0.8,23.4,24.0
Breeze,1,T,CT,208.2,169.0,21.8,17.4,12,18,18,12,109,87,87,109,-6,6,-1.2,1.2,31.2,25.0
Haven,1,CT,T,226.4,160.4,14.2,9.4,7,11,11,7,71,47,47,71,-4,4,-0.8,0.8,28.6,24.6
Icebox,1,T,CT,224.8,192.8,15.2,12.0,12,7,7,12,76,60,60,76,5,-5,1.0,-1.0,33.0,30.4
Ascent,1,T,CT,184.6,207.6,14.8,17.2,10,14,14,10,74,86,86,74,-4,4,-0.8,0.8,24.8,24.0
Bind,-1,CT,T,157.6,211.2,9.8,14.6,6,13,13,6,49,73,73,49,-7,7,-1.4,1.4,33.6,27.2
Haven,-1,CT,T,160.2,205.2,11.0,14.4,9,11,11,9,55,72,72,55,-2,2,-0.4,0.4,27.6,22.2
Pearl,1,T,CT,193.8,200.2,15.8,16.8,11,13,13,11,79,84,84,79,-2,2,-0.4,0.4,23.2,33.8
Bind,-1,CT,T,181.6,221.2,14.6,16.6,9,14,14,9,73,83,83,73,-5,5,-1.0,1.0,18.4,27.6
Ascent,-1,CT,T,204.8,204.0,17.2,17.2,14,10,10,14,86,86,86,86,4,-4,0.8,-0.8,21.8,31.8
Icebox,-1,CT,T,144.8,215.2,9.0,15.4,8,12,12,8,45,77,77,45,-4,4,-0.8,0.8,26.2,25.0
Ascent,1,T,CT,193.2,204.0,17.4,18.6,14,12,12,14,87,93,93,87,2,-2,0.4,-0.4,31.8,28.6
Fracture,1,CT,T,208.8,179.4,16.4,13.2,15,7,7,15,82,66,66,82,8,-8,1.6,-1.6,27.2,28.4
Icebox,-1,CT,T,199.0,225.6,16.2,18.4,15,9,9,15,81,92,92,81,6,-6,1.2,-1.2,25.0,29.4
Haven,-1,CT,T,189.0,207.6,14.2,16.2,10,12,12,10,71,81,81,71,-2,2,-0.4,0.4,22.0,36.6
Bind,1,T,CT,199.0,178.8,14.6,13.0,10,11,11,10,73,65,65,73,-1,1,-0.2,0.2,26.4,23.4
Breeze,1,CT,T,222.4,122.2,14.2,6.6,13,5,5,13,71,33,33,71,8,-8,1.6,-1.6,26.8,25.6
Fracture,-1,CT,T,193.8,218.8,14.2,16.2,11,10,10,11,71,81,81,71,1,-1,0.2,-0.2,23.6,28.4
Ascent,-1,CT,T,172.2,219.6,10.4,14.8,8,11,11,8,52,74,74,52,-3,3,-0.6,0.6,27.4,31.0
Haven,1,CT,T,221.4,173.2,17.8,13.6,12,11,11,12,89,68,68,89,1,-1,0.2,-0.2,27.6,31.4
Ascent,1,T,CT,222.2,202.8,21.6,19.8,15,13,13,15,108,99,99,108,2,-2,0.4,-0.4,24.6,24.6
Bind,-1,CT,T,167.0,208.2,10.4,14.4,7,12,11,8,52,72,72,52,-4,4,-0.8,0.8,23.4,24.0
